,season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
0,2016,REG,0,Tyreek Hill,WR,KC,7.822638888888887,3.5187142800813604,7.870602409638556,16.708057853881865,61,83,73.49397590361446,599.0,6,4.6706557377049185,5.3315702868677315,-0.660914549162813,00-0033040,Tyreek,Hill,10,T.Hill
1,2016,REG,0,Richard Rodgers,TE,GB,7.605789473684213,2.6938820804794577,8.381276595744682,6.884246030705779,30,47,63.829787234042556,271.0,2,3.3476666666666657,3.2744280250080995,0.0732386416585662,00-0031384,Richard,Rodgers,82,
2,2016,REG,0,Travis Benjamin,WR,LAC,7.601111111111111,3.017426184970724,13.329866666666668,19.53613072288804,47,75,62.66666666666667,677.0,4,5.67936170212766,4.9687108364278485,0.7106508656998116,00-0029269,Travis,Benjamin,12,
3,2016,REG,0,Cordarrelle Patterson,WR,MIN,7.4662686567164185,3.2304450344524893,5.564000000000001,9.530008221430531,52,70,74.28571428571429,453.0,2,6.278461538461537,5.619059983353808,0.6594015551077286,00-0030578,Cordarrelle,Patterson,84,C.Patterson
4,2016,REG,0,DeSean Jackson,WR,WAS,7.295833333333335,2.886285219632502,16.035399999999996,28.085914306381916,56,100,56.00000000000001,1005.0,4,4.867142857142858,5.051773002105554,-0.18463014496269547,00-0026189,DeSean,Jackson,11,D.Jackson
5,2016,REG,0,Albert Wilson,WR,KC,7.214090909090908,3.505559892066392,7.72607843137255,10.077880225584106,31,51,60.78431372549019,279.0,2,5.22258064516129,5.196667171296806,0.025913473864484615,00-0030669,Albert,Wilson,12,A.Wilson
6,2016,REG,0,Brandin Cooks,WR,NO,7.149210526315789,2.8473033548769573,13.449059829059829,30.87406605135933,78,117,66.66666666666666,1173.0,8,4.596923076923078,4.10761506025108,0.4893080166719983,00-0031236,Brandin,Cooks,10,B.Cooks
7,2016,REG,0,Rishard Matthews,WR,TEN,7.1388461538461545,2.167099764435854,13.507592592592594,29.93212632546535,65,108,60.18518518518518,945.0,9,3.859076923076923,3.9598145537373233,-0.10073763066040042,00-0029580,Rishard,Matthews,18,R.Matthews
8,2016,REG,0,Taylor Gabriel,WR,ATL,7.0809999999999995,3.1589818348542082,11.191,11.637507903231176,35,50,70.0,579.0,6,7.892,6.376377319136172,1.515622680863828,00-0031228,Taylor,Gabriel,18,T.Gabriel
9,2016,REG,0,Phillip Dorsett,WR,IND,7.072542372881356,2.902843283586208,13.835423728813561,15.613272687627436,33,59,55.932203389830505,528.0,2,4.325151515151516,4.658525747314787,-0.3333742321632709,00-0032208,Phillip,Dorsett,15,P.Dorsett
10,2016,REG,0,Chris Conley,WR,KC,7.053676470588236,2.905711445551097,10.583478260869565,18.677442868652253,44,69,63.76811594202898,530.0,0,3.0490909090909084,4.017353781923292,-0.9682628728323839,00-0032128,Christian,Conley,17,C.Conley
11,2016,REG,0,Tavon Austin,WR,LAR,6.977173913043478,3.1914531897961886,7.548396226415095,18.74674913896113,58,106,54.71698113207547,509.0,3,4.558620689655172,4.7340163393249135,-0.17539564966974108,00-0030525,Tavon,Austin,11,T.Austin
12,2016,REG,0,Tyler Lockett,WR,SEA,6.808749999999999,3.3537304665597185,10.76090909090909,13.854518002368193,41,66,62.121212121212125,597.0,1,5.339756097560975,5.551802066768878,-0.21204596920790308,00-0032211,Tyler,Lockett,16,
13,2016,REG,0,Ted Ginn,WR,CAR,6.765,2.9929793347602143,13.388736842105263,20.93332894455325,54,95,56.84210526315789,752.0,4,3.4033333333333324,4.053028916864915,-0.6496955835315825,00-0025396,Ted,Ginn,19,T.Ginn
14,2016,REG,0,Sammie Coates,WR,PIT,6.759795918367349,2.523947176813243,22.00857142857143,19.283670695944494,21,49,42.857142857142854,435.0,2,5.73142857142857,6.2511791416574765,-0.519750570228906,00-0032166,Sammie,Coates,14,S.Coates
15,2016,REG,0,Jamison Crowder,WR,WAS,6.732235294117647,3.5934765911806603,8.656161616161617,15.009606947127638,67,99,67.67676767676768,847.0,7,5.612388059701491,5.668837136562552,-0.056449076861061265,00-0031941,Jamison,Crowder,80,J.Crowder
16,2016,REG,0,Cole Beasley,WR,DAL,6.706413043478261,3.4045226093913414,6.840102040816328,15.971151715577076,75,98,76.53061224489795,833.0,5,4.960799999999999,5.1734829532477855,-0.21268295324778652,00-0029000,Cole,Beasley,11,C.Beasley
17,2016,REG,0,Doug Baldwin,WR,SEA,6.618867924528301,3.069867021286226,9.40264,22.927586724850624,94,125,75.2,1128.0,7,4.890212765957448,5.133962746947245,-0.24374998098979717,00-0028434,Doug,Baldwin,89,D.Baldwin
18,2016,REG,0,Brian Quick,WR,LAR,6.5464864864864865,2.1667962782834436,12.272597402597404,22.140765211686695,41,77,53.246753246753244,564.0,3,4.0407317073170725,2.8924003875388005,1.148331319778272,00-0029640,Brian,Quick,83,B.Quick
19,2016,REG,0,Allen Hurns,WR,JAX,6.54,2.5354071227099952,10.768552631578947,14.97701502807241,35,76,46.05263157894737,477.0,3,5.9877142857142855,6.157138161146571,-0.16942387543228588,00-0030821,Allen,Hurns,88,
20,2016,REG,0,Marquise Goodwin,WR,BUF,6.535909090909091,2.839552483859929,15.823235294117644,22.866335707849498,29,68,42.64705882352941,413.0,3,2.337241379310345,2.2694511989066894,0.06779018040365559,00-0030068,Marquise,Goodwin,88,M.Goodwin
21,2016,REG,0,Quincy Enunwa,WR,NYJ,6.523205128205128,2.4327383067130066,9.661142857142858,19.32637186147929,58,105,55.23809523809524,857.0,4,6.2344827586206915,5.823938358795724,0.4105443998249676,00-0031023,Onachie,Enunwa,81,Q.Enunwa
22,2016,REG,0,Jeremy Kerley,WR,SF,6.517843137254903,3.149410870783684,9.171478260869565,24.79634562351741,64,115,55.65217391304348,667.0,3,3.1635937499999995,4.814907075876472,-1.6513133258764725,00-0028091,Jeremy,Kerley,17,J.Kerley
23,2016,REG,0,Adam Humphries,WR,TB,6.508181818181818,3.4168422148766115,5.731686746987951,7.7880768248521735,55,83,66.26506024096386,622.0,2,7.180363636363635,6.426137826286847,0.7542258100767887,00-0032009,Adam,Humphries,11,A.Humphries
24,2016,REG,0,Steve Smith,WR,BAL,6.503258426966291,2.6599595702922043,9.094158415841584,17.493096158607432,70,101,69.3069306930693,799.0,5,3.8158571428571424,3.1583797895749326,0.6574773532822098,00-0020337,Steve,Smith,89,S.Smith Sr.
25,2016,REG,0,Larry Fitzgerald,WR,ARI,6.482462686567165,2.3613453767405517,7.994866666666669,18.062107273461177,107,150,71.33333333333334,1023.0,6,3.429719626168224,3.6251963890891177,-0.19547676292089378,00-0022921,Larry,Fitzgerald,11,L.Fitzgerald
26,2016,REG,0,Kenny Stills,WR,MIA,6.459189189189188,2.481538707946491,15.291234567901233,31.584033945588125,42,81,51.85185185185185,726.0,9,4.216904761904762,3.9911371753431113,0.22576758656165063,00-0030085,Kenny,Stills,10,K.Stills
27,2016,REG,0,Delanie Walker,TE,TEN,6.436708860759493,2.8723859663018585,10.074803921568629,21.084952890581402,65,102,63.725490196078425,800.0,7,4.013538461538461,4.14262644665172,-0.1290879851132587,00-0024389,Delanie,Walker,82,D.Walker
28,2016,REG,0,Tajae Sharpe,WR,TEN,6.3984337349397595,2.118007559495426,13.75,23.416212534059945,41,83,49.39759036144578,522.0,2,2.076341463414635,2.507731551077044,-0.43139008766240927,00-0032778,Tajae,Sharpe,19,T.Sharpe
29,2016,REG,0,Quinton Patton,WR,SF,6.387096774193548,3.2223971831420024,9.913809523809524,14.683568706462635,37,63,58.730158730158735,408.0,0,5.3827027027027015,5.607346103801891,-0.2246434010991898,00-0030450,Quinton,Patton,11,
30,2016,REG,0,Julian Edelman,WR,NE,6.381911764705882,2.6883264663647135,9.4888679245283,33.82833029892643,98,159,61.63522012578616,1106.0,3,4.936836734693878,4.69184191433604,0.24499482035783782,00-0027150,Julian,Edelman,11,J.Edelman
31,2016,REG,0,Kyle Rudolph,TE,MIN,6.348686868686869,2.8626669857194025,7.253636363636364,23.428140782210395,83,132,62.878787878787875,840.0,7,4.387710843373493,5.252803831760446,-0.8650929883869534,00-0027981,Kyle,Rudolph,82,K.Rudolph
32,2016,REG,0,Zach Ertz,TE,PHI,6.340136986301371,3.235482494733197,8.420849056603775,18.376216180606164,78,106,73.58490566037736,816.0,4,3.410256410256411,3.961754226775231,-0.55149781651882,00-0030061,Zach,Ertz,86,Z.Ertz
33,2016,REG,0,Torrey Smith,WR,SF,6.306530612244899,2.3446615726191298,13.832857142857142,15.935234969542943,20,49,40.816326530612244,267.0,3,2.8299999999999996,3.82771820449765,-0.9977182044976503,00-0027996,James,Smith,82,T.Smith
34,2016,REG,0,Vernon Davis,TE,WAS,6.29711111111111,3.1570746620527532,9.72406779661017,10.04867403111705,44,59,74.57627118644068,581.0,2,5.239318181818181,5.863518022682522,-0.6241998408643408,00-0024221,Vernon,Davis,85,V.Davis
35,2016,REG,0,Marqise Lee,WR,JAX,6.254466019417476,2.563941099159299,11.866952380952382,22.802519562846335,63,105,60.0,851.0,3,5.495238095238096,5.377943992085824,0.11729410315227184,00-0031431,Marqise,Lee,11,M.Lee
36,2016,REG,0,Robert Woods,WR,BUF,6.249589041095891,3.525245211532,11.175394736842104,18.049652323228884,51,76,67.10526315789474,613.0,1,2.6939215686274514,3.551595990561848,-0.8576744219343966,00-0030431,Robert,Woods,10,R.Woods
37,2016,REG,0,Nelson Agholor,WR,PHI,6.24939393939394,2.292221220614623,11.44768115942029,16.261513313652102,36,69,52.17391304347826,365.0,2,3.022777777777778,3.308514554831914,-0.28573677705413614,00-0031549,Nelson,Agholor,17,N.Agholor
38,2016,REG,0,Corey Brown,WR,CAR,6.243829787234043,3.172532643566694,10.083396226415093,8.795444446273102,27,53,50.943396226415096,271.0,1,4.285555555555555,5.136149336896962,-0.8505937813414075,00-0031118,Corey,Brown,10,C.Brown
