season,week,home_team,away_team,total,spread,ml,home_implied_score,away_implied_score,home_score,away_score,home_predicted_score,away_predicted_score,predicted_spread,actual_spread,predicted_total,actual_total,predicted_winner,actual_winner,spread_won,total_won,ml_won
2023,10,ARI,ATL,43.5,2.0,ATL,21.0,23.0,25,23,20.210839223900745,20.79001769592281,0.5791784720220647,-2,41.000856919823555,48,ATL,ARI,True,False,False
2023,10,BAL,CLE,38.0,-6.0,BAL,22.0,16.0,31,33,24.145757611727298,16.457990359322622,-7.687767252404676,2,40.60374797104992,64,BAL,CLE,False,False,False
2023,10,BUF,DEN,47.5,-7.5,BUF,28.0,20.0,22,24,28.399067049088124,20.110010709250925,-8.289056339837199,2,48.509077758339046,46,BUF,DEN,False,False,False
2023,10,CAR,CHI,38.0,3.5,CHI,17.0,21.0,13,16,19.8050242234138,21.727212160457313,1.922187937043514,3,41.53223638387111,29,CHI,CHI,True,False,True
2023,10,CIN,HOU,45.5,-5.5,CIN,26.0,20.0,27,30,25.750042769685866,19.919590058349193,-5.830452711336672,3,45.66963282803506,57,CIN,HOU,False,False,False
2023,10,DAL,NYG,39.0,-17.5,DAL,28.0,11.0,49,17,25.240493679778805,16.779413370280388,-8.461080309498417,-32,42.01990705005919,66,DAL,DAL,False,False,True
2023,10,DET,LAC,48.5,-2.5,DET,26.0,23.0,41,38,25.56781758408581,22.645898280551926,-2.9219193035338833,-3,48.213715864637734,79,DET,DET,True,False,True
2023,10,GB,PIT,38.5,3.0,PIT,18.0,21.0,19,23,18.46391191861192,20.259373577984363,1.7954616593724424,4,38.72328549659628,42,PIT,PIT,False,False,True
2023,10,IND,NE,42.5,-1.5,IND,22.0,20.0,10,6,21.56481140860111,19.452259636845703,-2.112551771755406,-4,41.01707104544681,16,IND,IND,True,True,True
2023,10,JAX,SF,44.5,3.0,SF,21.0,24.0,3,34,22.61201492818784,24.028505107215125,1.416490179027285,31,46.640520035402965,37,SF,SF,False,False,True
2023,10,LV,NYJ,35.5,1.0,NYJ,17.0,18.0,16,12,18.56064618024652,18.831760850090767,0.27111466984424837,-4,37.39240703033728,28,NYJ,LV,True,False,False
2023,10,MIN,NO,40.5,3.0,NO,19.0,22.0,27,19,19.270202147537407,23.43626287274327,4.166060725205863,-8,42.706465020280675,46,NO,MIN,False,False,False
2023,10,SEA,WAS,44.0,-6.0,SEA,25.0,19.0,29,26,25.39421862793789,19.075775167983444,-6.318443459954445,-3,44.46999379592133,55,SEA,SEA,False,False,True
2023,10,TB,TEN,39.0,-2.5,TB,21.0,18.0,20,6,21.56593092624706,19.926699414137865,-1.6392315121091947,-14,41.49263034038492,26,TB,TB,False,False,True
2023,11,ARI,HOU,48.0,5.0,HOU,22.0,26.0,16,21,21.988766425721128,24.701154733005875,2.7123883072847477,5,46.689921158727,37,HOU,HOU,False,True,True
2023,11,BAL,CIN,46.5,-4.0,BAL,25.0,21.0,34,20,26.026820600407845,21.795209971238634,-4.231610629169211,-14,47.82203057164648,54,BAL,BAL,True,False,True
2023,11,BUF,NYJ,39.0,-8.5,BUF,24.0,15.0,32,6,25.66242798409047,19.065128956214252,-6.597299027876218,-26,44.72755694030472,38,BUF,BUF,False,False,True
2023,11,CAR,DAL,43.0,11.0,DAL,16.0,27.0,10,33,16.240938252319005,25.932514181184924,9.69157592886592,23,42.173452433503925,43,DAL,DAL,False,False,True
2023,11,CHI,DET,48.0,8.0,DET,20.0,28.0,26,31,20.40467375395738,27.592027355969915,7.187353602012536,5,47.996701109927294,57,DET,DET,True,False,True
2023,11,CLE,PIT,34.5,-2.0,CLE,18.0,16.0,13,10,17.598749063553747,16.68209725499422,-0.9166518085595285,-3,34.280846318547965,23,CLE,CLE,False,True,True
2023,11,DEN,MIN,43.0,-2.5,DEN,23.0,20.0,21,20,21.94043981372152,21.451918362733345,-0.488521450988177,-1,43.39235817645486,41,DEN,DEN,True,False,True
2023,11,GB,LAC,44.0,3.0,LAC,20.0,24.0,23,20,20.668659651506303,23.17755419930518,2.508894547798878,-3,43.84621385081148,43,LAC,GB,True,True,False
2023,11,JAX,TEN,40.0,-6.5,JAX,23.0,17.0,34,14,22.229195065318486,18.55915977593413,-3.670035289384355,-20,40.78835484125261,48,JAX,JAX,False,False,True
2023,11,KC,PHI,46.0,-2.5,KC,24.0,22.0,17,21,24.576340784802056,22.215975773602196,-2.3603650111998604,4,46.79231655840425,38,KC,PHI,True,False,False
2023,11,LAR,SEA,46.0,-2.0,LAR,24.0,22.0,17,16,23.88043982544977,23.682255183428094,-0.19818464202167618,-1,47.56269500887787,33,LAR,LAR,True,False,True
2023,11,LV,MIA,44.5,14.0,MIA,15.0,29.0,13,20,16.46765997987479,29.017051015967485,12.549391036092697,7,45.48471099584228,33,MIA,MIA,True,False,True
2023,11,NYG,WAS,39.0,8.5,WAS,15.0,24.0,31,19,18.71231342121398,23.766183879206757,5.053870457992776,-12,42.47849730042074,50,WAS,NYG,True,False,False
2023,11,SF,TB,41.5,-13.5,SF,28.0,14.0,27,14,28.36032489260147,15.34247867677181,-13.017846215829659,-13,43.70280356937328,41,SF,SF,True,False,True
2023,12,ARI,LAR,45.0,3.0,LAR,21.0,24.0,14,37,20.78857733691636,23.566040918790573,2.777463581874212,23,44.35461825570694,51,LAR,LAR,False,False,True
2023,12,ATL,NO,42.0,2.0,NO,20.0,22.0,24,15,19.256539622704977,23.107024210902622,3.850484588197645,-9,42.3635638336076,39,NO,ATL,False,False,False
2023,12,BAL,LAC,49.0,-3.0,BAL,26.0,23.0,20,10,27.836768477368924,22.07915184310289,-5.757616634266036,-10,49.91592032047181,30,BAL,BAL,True,False,True
2023,12,BUF,PHI,48.5,2.5,PHI,23.0,26.0,34,37,23.570468422898173,25.00694468465194,1.4364762617537679,3,48.577413107550115,71,PHI,PHI,False,False,True
2023,12,CAR,TEN,35.5,3.5,TEN,16.0,20.0,10,17,18.66595225485969,19.40151586989947,0.73556361503978,7,38.06746812475916,27,TEN,TEN,False,False,True
2023,12,CHI,MIN,43.5,3.0,MIN,20.0,23.0,12,10,19.951779540588785,24.39898125684942,4.447201716260636,-2,44.350760797438205,22,MIN,CHI,False,False,False
2023,12,CIN,PIT,37.0,2.0,PIT,18.0,20.0,10,16,18.24333084888259,18.386833748877564,0.14350289999497434,6,36.63016459776016,26,PIT,PIT,False,True,True
2023,12,CLE,DEN,37.5,1.5,DEN,18.0,20.0,12,29,17.611770464284014,20.34948984322658,2.7377193789425647,17,37.96126030751059,41,DEN,DEN,True,False,True
2023,12,DAL,WAS,48.0,-13.0,DAL,30.0,18.0,45,10,30.232056865605546,16.475930253851487,-13.756126611754059,-35,46.70798711945703,55,DAL,DAL,True,False,True
